Christina George Rossetti
useage count , word used
77, i
24, not
23, my
21, me
21, love
20, is
20, in
19, you
18, for
17, that
14, was
14, oh
12, are
11, with
11, have
10, from
9, thee
9, it
8, we
8, this
8, she
7, spring
7, one
7, once
7, if
7, dream
7, come
7, at
7, am
7, all
6, will
6, who
6, when
6, what
6, were
6, sweet
6, said
6, long
6, flowers
6, day
5, while
5, where
5, tell
5, so
5, roses
5, no
5, never
5, must
5, like
5, its
5, her
5, do
5, dear
5, cold
5, call
5, before
5, be
4, why
4, us
4, today
4, thy
4, there
4, sun
4, sat
4, on
4, o
4, night
4, lord
4, life
4, gone
4, dwell
4, dreamed
4, dead
4, as
3, youth
3, year
3, would
3, winter
3, which
3, upon
3, thou
3, they
3, theres
3, summer
3, south
3, sleeping
3, silence
3, shall
3, sea
3, saith
3, rose
3, pleasant
3, pale
3, over
3, or
3, met
3, loved
3, land
3, know
3, how
3, hope
3, height
3, heart
3, happy
3, hand
3, fair
3, did
3, croak
3, christ
3, cannot
3, can
3, born
3, because
3, alone
3, ago
2, your
2, young
2, yet
2, wintry
2, whom
2, weeping
2, weary
2, wearied
2, watched
2, very
2, vanity
2, vanities
2, used
2, two
2, tree
2, till
2, through
2, thro
2, thought
2, though
2, tender
2, still
2, sorrow
2, song
2, some
2, soft
2, snow
2, sleep
2, sit
2, sing
2, side
2, sick
2, should
2, sequestered
2, see
2, sang
2, sad
2, rosebud
2, rivers
2, rest
2, remember
2, red
2, preacher
2, plucked
2, out
2, now
2, nothing
2, nights
2, new
2, near
2, mystery
2, morn
2, might
2, many
2, maiden
2, maid
2, maggie
2, looked
2, look
2, lies
2, let
2, last
2, jessie
2, hear
2, hang
2, had
2, green
2, grave
2, golden
2, god
2, gave
2, far
2, fain
2, dreams
2, down
2, door
2, done
2, does
2, die
2, desired
2, desire
2, death
2, days
2, dancing
2, cup
2, comes
2, chide
2, changed
2, came
2, calleth
2, by
2, brought
2, blossoms
2, bird
2, between
2, beautiful
2, back
2, away
2, art
2, alway
2, ah
2, accept
1, youll
1, yesterday
1, wren
1, words
1, woos
1, wonder
1, woman
1, without
1, wit
1, wish
1, wind
1, willow
1, whoso
1, whenever
1, whence
1, weep
1, weariness
1, weak
1, waters
1, watching
1, watch
1, wasting
1, waste
1, wantonly
1, waking
1, waketh
1, wakes
1, waiting
1, wait
1, violets
1, vine
1, vales
1, vain
1, upland
1, up
1, unmindful
1, undo
1, underneath
1, twice
1, turned
1, traveller
1, took
1, tome
1, told
1, together
1, tired
1, time
1, thrills
1, three
1, thousand
1, thinned
1, think
1, things
1, thing
1, them
1, teeth
1, tears
1, tarry
1, swept
1, sweetest
1, surely
1, sunshine
1, sunrise
1, sunless
1, sung
1, such
1, strong
1, strike
1, stood
1, stone
1, stirring
1, starved
1, stars
1, stage
1, spreads
1, sport
1, splendor
1, spirit
1, sound
1, sought
1, soonest
1, sonnets
1, songs
1, somewhere
1, somewhat
1, smile
1, slumber
1, sky
1, skin
1, sitteth
1, sinning
1, singing
1, silverwinged
1, shut
1, short
1, shines
1, sheep
1, shame
1, shade
1, set
1, selfsame
1, seen
1, seek
1, secret
1, saw
1, sap
1, root
1, rocking
1, robin
1, rising
1, ripples
1, rippled
1, replying
1, repentance
1, recount
1, princess
1, pretty
1, preach
1, praise
1, poor
1, pleasure
1, place
1, pink
1, phantom
1, perfume
1, past
1, pass
1, part
1, paradise
1, paling
1, overlooks
1, outer
1, our
1, other
1, only
1, nursed
1, north
1, nor
1, noon
1, nighest
1, nests
1, mountains
1, mother
1, morning
1, more
1, moon
1, moan
1, mine
1, milly
1, million
1, midwinter
1, mended
1, meet
1, meaningless
1, may
1, master
1, marring
1, mark
1, mans
1, man
1, making
1, make
1, made
1, lowly
1, lowest
1, loves
1, lovely
1, lovelocks
1, lot
1, longed
1, loftier
1, living
1, lived
1, live
1, little
1, lips
1, lie
1, laughter
1, laughing
1, laugh
1, lark
1, lap
1, lamp
1, lambkins
1, knew
1, kingdescended
1, kindling
1, keep
1, juices
1, joy
1, johnny
1, john
1, jill
1, jewels
1, jesus
1, jest
1, jess
1, january
1, irresponsive
1, inner
1, indeed
1, hundred
1, hubbub
1, house
1, homebound
1, hold
1, him
1, hill
1, high
1, here
1, helen
1, heavily
1, heaven
1, heat
1, hears
1, head
1, he
1, hath
1, has
1, half
1, hair
1, gums
1, growing
1, grotesque
1, grey
1, grew
1, grass
1, goldenwinged
1, going
1, goal
1, go
1, gnash
1, glancing
1, give
1, girls
1, gilded
1, gay
1, gate
1, garden
1, funny
1, full
1, fruit
1, frostlocked
1, friends
1, friend
1, fresh
1, found
1, forth
1, forget
1, footstep
1, fool
1, followed
1, flying
1, flush
1, flows
1, flowing
1, flower
1, flow
1, flora
1, floor
1, flocks
1, flocking
1, flat
1, first
1, fathers
1, father
1, fast
1, falling
1, falcon
1, face
1, eyes
1, exceeding
1, evermore
1, ever
1, eventide
1, evening
1, even
1, err
1, equinox
1, east
1, earth
1, eager
1, drifting
1, drifted
1, drest
1, drawn
1, downstairs
1, dower
1, doves
1, doom
1, died
1, didst
1, depth
1, depart
1, delight
1, deep
1, decked
1, dearest
1, dare
1, dance
1, curtains
1, curious
1, cross
1, country
1, could
1, cottage
1, cornfields
1, cornfield
1, consider
1, coming
1, coldhearted
1, clear
1, church
1, christmas
1, chiming
1, cheerful
1, cameron
1, buttercup
1, but
1, busk
1, bursts
1, burn
1, buried
1, built
1, buds
1, buddingtime
1, bride
1, breathe
1, breaks
1, brandon
1, branch
1, bower
1, boughs
1, bosom
1, bore
1, bone
1, boat
1, blueeyed
1, blow
1, blooming
1, bloom
1, blood
1, bleak
1, bind
1, beneath
1, below
1, bells
1, been
1, beauty
1, bear
1, barren
1, bane
1, awe
1, awake
1, autumn
1, asleep
1, arise
1, appletree
1, any
1, another
1, among
1, amid
1, almost
1, allcreation
1, against
1, again
1, advent
1, accord
