Emily Dickinson
useage count , word used
68, i
36, is
17, my
13, when
13, not
12, that
12, in
11, it
10, so
10, on
10, as
10, are
9, was
9, if
9, have
8, this
8, heart
8, had
8, for
7, you
7, went
7, we
7, one
7, no
7, never
7, me
7, know
7, he
7, an
6, who
6, night
6, like
6, heaven
6, from
6, but
6, be
6, all
5, with
5, thought
5, little
5, life
5, its
5, how
5, her
5, death
5, come
4, word
4, summer
4, such
4, love
4, ive
4, every
4, dead
4, could
4, by
4, bird
4, at
3, woods
3, within
3, will
3, up
3, time
3, thing
3, thee
3, sun
3, still
3, should
3, or
3, lost
3, live
3, light
3, left
3, just
3, im
3, got
3, god
3, first
3, enough
3, down
3, died
3, day
3, can
3, came
3, bring
3, afraid
2, your
2, year
2, world
2, whom
2, which
2, what
2, were
2, us
2, upon
2, two
2, touched
2, today
2, times
2, through
2, they
2, theres
2, there
2, than
2, t
2, sweet
2, storm
2, stopped
2, stand
2, some
2, small
2, slow
2, she
2, setting
2, sea
2, saw
2, rose
2, reach
2, put
2, precious
2, pleasure
2, plank
2, over
2, our
2, other
2, much
2, modest
2, meet
2, meant
2, man
2, made
2, low
2, lose
2, look
2, long
2, let
2, hope
2, him
2, hills
2, high
2, heard
2, has
2, grief
2, going
2, garden
2, friend
2, find
2, father
2, far
2, faith
2, face
2, exists
2, except
2, earth
2, early
2, each
2, die
2, delight
2, days
2, cause
2, cannot
2, brain
2, bliss
2, back
2, ample
2, adrift
1, youll
1, youd
1, yet
1, years
1, wrung
1, wretch
1, wrestled
1, wounded
1, worthiness
1, worked
1, words
1, wondrous
1, wonder
1, women
1, womans
1, woman
1, wish
1, wine
1, wind
1, wife
1, wide
1, why
1, whether
1, whereon
1, where
1, wheat
1, well
1, weep
1, wanted
1, wandered
1, walk
1, viewed
1, very
1, unused
1, unto
1, unaccustomed
1, twice
1, trusting
1, trick
1, trees
1, train
1, town
1, torture
1, torrid
1, torn
1, took
1, too
1, tolling
1, told
1, toad
1, till
1, tightens
1, tie
1, throe
1, three
1, thou
1, those
