Henry Wadsworth Longfellow
useage count , word used
31, in
24, is
23, i
15, that
14, on
13, was
12, are
11, from
11, day
11, by
10, old
10, it
9, when
9, o
9, night
9, king
9, all
8, tale
8, my
7, with
7, this
7, have
7, at
6, one
6, me
6, his
6, as
5, what
5, well
5, sea
5, now
5, how
5, heard
5, he
5, beautiful
4, we
4, town
4, thus
4, these
4, sweet
4, summer
4, still
4, said
4, river
4, olaf
4, long
4, lies
4, land
4, has
4, far
4, drontheim
4, an
4, am
4, air
3, young
3, yet
3, year
3, wind
3, who
3, upon
3, turn
3, thought
3, thou
3, those
3, sun
3, strong
3, song
3, some
3, so
3, sleep
3, sat
3, round
3, read
3, out
3, not
3, month
3, loud
3, like
3, into
3, heart
3, had
3, guests
3, gloom
3, gentle
3, four
3, epimetheus
3, come
3, cold
3, autumn
3, ancient
3, after
2, your
2, yon
2, yes
2, ye
2, would
2, within
2, whose
2, which
2, where
2, west
2, were
2, weary
2, warm
2, village
2, traveller
2, thy
2, through
2, there
2, their
2, story
2, stood
2, st
2, spain
2, soon
2, she
2, purple
2, pleased
2, pleasant
2, pines
2, phantom
2, pen
2, passed
2, pandora
2, own
2, or
2, once
2, olafs
2, ocean
2, murmur
2, most
2, morn
2, more
2, moon
2, man
2, maiden
2, lay
2, late
2, just
2, its
2, hour
2, hide
2, hermes
2, harvest
2, gray
2, grave
2, grandpré
2, gone
2, god
2, for
2, fleet
2, fire
2, ended
2, end
2, died
2, die
2, desert
2, dead
2, daylight
2, dark
2, cried
2, closed
2, children
2, came
2, but
2, bruges
2, brown
2, branches
2, blind
2, bells
2, before
2, bank
2, arise
2, applause
2, anchor
2, alden
2, again
1, you
1, years
1, worthy
1, witlaf
1, without
1, winsome
1, winds
1, windows
1, window
1, will
1, whom
1, while
1, wherein
1, wheel
1, went
1, wave
1, waters
1, watches
1, washed
1, warriors
1, wanderest
1, walking
1, wailing
1, voices
1, viswamitra
1, vecchio
1, vanes
1, vague
1, urn
1, uprose
1, up
1, until
1, union
1, under
1, two
1, twilight
1, tuscan
1, trees
1, trailing
1, towers
1, tower
1, touched
1, torrent
1, too
1, tonight
1, told
1, toils
1, times
1, thorberg
1, thora
1, thor
1, think
1, thing
1, they
1, then
1, thee
1, terra
1, tent
1, tender
1, tamberskelver
1, tales
1, swell
1, svend
1, survives
1, surf
1, sunny
1, sunlit
1, students
1, student
1, strike
1, strange
1, strand
1, stralsund
1, strain
1, straight
1, steed
1, steadily
1, stay
1, stature
1, statue
1, stately
1, stars
1, stands
1, standish
1, standing
1, stand
1, stalwart
1, spell
1, spake
1, sounding
1, sono
1, solitary
1, solemnly
1, soldier
1, soft
1, slope
1, sleeps
1, sleepless
1, skipper
1, skafting
1, sisters
1, sir
1, sing
1, since
1, simon
1, silken
1, sigrid
1, signor
1, side
1, should
1, shot
1, short
1, shores
1, shore
1, ships
1, shall
1, shadows
1, shades
1, set
1, seems
1, season
1, seasands
1, seas
1, seabeach
1, say
1, saxons
1, saxon
1, sandy
1, sandals
1, san
1, saint
1, sails
1, sailors
1, safe
1, sadly
1, runs
1, rude
1, rose
1, room
1, rocky
1, roads
1, rivers
1, rising
1, risen
1, rimol
1, rideth
1, richard
1, rhymes
1, rhyme
1, returning
1, returned
1, rests
1, rest
1, remembrance
1, remember
1, realms
1, real
1, reached
1, raschid
1, ran
1, rain
1, raged
1, queen
1, quaint
1, putting
1, proud
1, prometheus
1, primeval
1, prevailed
1, praised
1, poor
1, ponte
1, plymouth
1, pleasantly
1, pleads
1, plaudite
1, plashy
1, plains
1, places
1, place
1, pitcher
1, pilgrims
1, phrase
1, photograph
1, perplexed
1, perfect
1, peradventure
1, paused
1, pathos
1, park
1, panting
1, pale
1, pajaros
1, painted
1, pace
1, over
1, outskirts
1, orosius
1, oriel
1, open
1, olympus
1, olden
1, oh
1, often
1, oft
1, oershadowed
1, oer
1, october
1, oar
1, oaks
1, oak
1, nunc
1, numbered
1, nothing
1, northward
1, north
1, norseman
1, noon
1, no
1, nine
1, nights
1, nidos
1, next
1, near
1, narrow
1, naiades
1, myriad
1, mustered
1, music
1, mused
1, murmuring
1, much
1, mown
1, mouth
1, mournfully
1, mounted
1, mountains
1, mountain
1, mount
1, mouldering
1, morning
1, mont
1, mists
1, mist
1, mine
1, minas
1, miles
1, midnight
1, mi
1, merry
1, men
1, memory
1, meet
1, meek
1, mediaeval
1, meanwhile
1, meaning
1, may
1, masterbuilder
1, master
1, marvellous
1, marketplace
1, marching
1, many
1, magician
1, made
1, luigi
1, low
1, love
1, loudly
1, lost
1, los
1, loneliness
1, lodge
1, locks
1, lo
1, lived
1, little
1, listened
1, listen
1, limpid
1, limb
1, lights
1, light
1, lifes
1, life
1, let
1, less
1, legend
1, ledge
1, leaves
1, leafless
1, leaf
1, lavoro
1, large
1, language
1, landlord
1, lamp
1, lakes,four
1, lake
1, laboring
1, kyrat
1, known
1, knight
1, kind
1, kenhawas
1, jolly
1, john
1, jew
1, itself
1, islands
1, ionian
1, inscription
1, illusions
1, il
1, icelands
1, hurrying
1, humorist
1, houses
1, hours
1, horizons
1, home
1, holiest
1, holidays
1, hither
1, history
1, hid
1, here
1, heralded
