Ralph Waldo Emerson
useage count , word used
42, i
26, in
24, is
14, not
13, thy
12, are
11, who
11, on
11, me
10, thou
9, love
8, you
8, what
8, was
8, day
7, with
7, when
7, it
7, her
7, he
7, by
7, all
6, that
6, no
6, never
6, my
6, if
6, his
6, from
6, be
6, am
5, we
5, this
5, their
5, poet
5, or
5, for
5, as
4, wine
4, why
4, well
4, though
4, there
4, stars
4, said
4, o
4, mine
4, life
4, let
4, heaven
4, heart
4, go
4, fate
4, each
4, but
3, wise
3, waves
3, violet
3, two
3, time
3, thought
3, they
3, sun
3, set
3, see
3, sea
3, poor
3, now
3, muse
3, morning
3, man
3, long
3, knows
3, know
3, how
3, have
3, has
3, good
3, give
3, garden
3, eyes
3, beauty
2, yours
2, your
2, ye
2, would
2, world
2, woods
2, within
2, wings
2, wind
2, will
2, which
2, water
2, use
2, true
2, trees
2, times
2, three
2, thousand
2, think
2, things
2, thee
2, tell
2, sung
2, stream
2, stand
2, spring
2, spirit
2, spare
2, space
2, song
2, solid
2, so
2, sky
2, shalt
2, shall
2, seen
2, seek
2, rude
2, roving
2, rome
2, road
2, put
2, proud
2, please
2, our
2, one
2, once
2, night
2, nature
2, music
2, much
2, middle
2, men
2, may
2, many
2, low
2, lords
2, lonely
2, lofty
2, little
2, like
2, learned
2, joy
2, ill
2, hunt
2, hope
2, hid
2, heard
2, hast
2, had
2, god
2, friends
2, friend
2, forms
2, foes
2, flow
2, first
2, field
2, fall
2, fair
2, face
2, eye
2, every
2, errand
2, earth
2, down
2, do
2, did
2, deep
2, dear
2, days
2, dark
2, countless
2, clay
2, chain
2, cannot
2, brother
2, brings
2, born
2, behold
2, bard
2, age
1, youth
1, yonder
1, yon
1, yields
1, yet
1, yesterday
1, years
1, year
1, wrote
1, wrecked
1, worth
1, works
1, word
1, woke
1, wits
1, without
1, wisp
1, wished
1, wiser
1, wisely
1, winters
1, winds
1, wilt
1, willard
1, wide
1, whose
1, white
1, wherein
1, whereer
1, where
1, wet
1, west
1, were
1, wellassorted
1, weight
1, weeks,and
1, websters
1, weave
1, weary
1, ways
1, wall
1, voice
1, vest
1, verses
1, verdict
1, venus
1, venerable
1, vast
1, vain
1, upwardstriving
1, upward
1, upon
1, upland
1, up
1, unkind
1, universe
1, unfold
1, understands
1, uncertain
1, tutors
1, turbulent
1, tulips
1, try
1, truths
1, trumpets
1, troop
1, trod
1, trivial
1, trays
1, travellers
1, train
1, trace
1, town
1, tosses
1, took
1, too
1, tongue
1, today
1, tills
1, through
1, thinks
1, thine
1, these
1, theme
1, thanks
1, thankful
1, test
1, tenderly
1, task
1, takes
1, take
1, surfaces
1, sure
1, sunbeams
1, summer
1, success
1, suburb
1, subtle
1, strike
1, strength
1, strain
1, still
1, sterner
1, steadfastly
1, stay
1, stately
1, state
1, squirrel
1, spreads
1, spot
1, spires
1, spin
1, sphinx
1, spend
1, speed
1, southwind
1, soothes
1, sons
1, son
1, some
1, solitudes
1, sole
1, softlier
1, soft
1, snow
1, smiling
1, smiles
1, smiled
1, smile
1, small
1, slays
1, slayer
1, six
1, sits
1, sings
1, silken
1, shy
1, shows
1, should
1, short
1, ship
1, shines
1, shined
1, shed
1, she
1, shallow
1, serve
1, serene
1, sense
1, seems
1, seemed
1, seawinds
1, seas
1, seal
1, sculptors
1, scatters
1, say
1, saw
1, sand
1, same
1, sallied
1, sails
1, sail
1, sad
1, russet
1, rules
1, ruddy
1, ruby
1, rubies
1, rocky
1, rocks
1, rock
1, rings
1, right
1, rhyme
1, returns
1, return
1, respect
1, repine
1, rejoices
1, rehearse
1, reel
1, redcloaked
1, red
1, reason
1, realm
1, reached
1, rake
1, quit
1, queen
1, quarrel
1, publish
1, public
1, prosperous
1, prophets
1, previous
1, preventing
1, prayers
1, prank
1, power
1, polite,and
1, planted
1, planets
1, place
1, pining
1, pinetree
1, pine
1, pierced
1, picture
1, philosophers
1, periods
1, peers
1, patriot
1, patient
1, path
1, patch
1, passions
1, pans
1, pan
1, pale
1, palace
1, paid
1, page
1, own
1, owe
1, overbold
1, over
1, other
1, old
1, oil
1, october
1, obey
1, obedience
1, north
1, nor
1, nook
1, nightly
1, nightdreams
1, next
1, new
1, needle
1, nectar
1, named
1, mystic
1, musketaquit
1, musician
1, mournful
1, mourn
1, mountain
1, mount
1, mound
1, mortal
1, more
1, modulates
1, mixed
1, minstrels
1, mind
1, might
1, meteor
1, merlin
1, meriam
1, memorys
1, mellow
1, meet
1, measured
1, meadows
1, meadow
1, maple
1, manly
1, maiden
1, maid
1, magical
1, made
1, loved
1, loud
1, lot
1, lost
1, lord
1, loath
1, living
1, live
1, lip
1, lingerest
1, lined
1, light
1, lifes
1, lie
1, liberal
1, left
1, learn
1, leafless
1, lay
1, last
1, land
1, laid
1, knowledge
1, knaves
1, kings
1, kine
1, kind
1, keep
1, jest
1, its
1, iron
1, iran
1, into
1, infirmities
1, inclined
1, impenetrable
1, im
1, illusion
1, hypocritic
