Sara Teasdale
useage count , word used
77, i
34, my
31, in
28, is
23, you
19, me
17, love
16, when
15, am
14, have
13, oh
12, night
12, as
11, are
10, was
10, it
10, at
9, your
9, will
9, not
9, like
9, all
8, if
8, heart
8, be
7, with
7, they
7, there
7, see
7, said
7, came
6, wind
6, we
6, that
6, out
6, never
6, long
6, from
6, come
6, by
6, beauty
6, april
5, world
5, what
5, this
5, summer
5, still
5, spring
5, soul
5, so
5, snow
5, over
5, on
5, no
5, life
5, forgotten
5, for
5, an
5, again
4, trees
4, too
4, their
4, sea
4, old
4, moon
4, little
4, light
4, let
4, how
4, her
4, he
4, gone
4, go
4, eyes
4, day
4, could
4, coming
4, child
4, can
3, year
3, wild
3, while
3, were
3, thought
3, stars
3, sleep
3, should
3, room
3, pass
3, park
3, one
3, now
3, many
3, lie
3, leaves
3, know
3, into
3, him
3, gave
3, evening
3, earth
3, do
3, dawn
3, but
3, bright
3, back
3, after
2, would
2, word
2, within
2, wide
2, why
2, white
2, went
2, wear
2, waves
2, wake
2, voice
2, until
2, two
2, tonight
2, tired
2, tell
2, sweet
2, sun
2, stood
2, spoken
2, south
2, sound
2, song
2, since
2, shall
2, sent
2, saw
2, roses
2, rose
2, redbirds
2, red
2, rain
2, queen
2, people
2, peace
2, o’clock
2, other
2, off
2, northern
2, must
2, much
2, morning
2, more
2, midnight
2, lyric
2, lovely
2, loved
2, lost
2, live
2, lingering
2, lighted
2, last
2, kings
2, infinite
2, indian
2, hour
2, his
2, here
2, heavy
2, has
2, had
2, grows
2, gray
2, forth
2, fog
2, flower
2, flight
2, fire
2, filled
2, faults
2, far
2, fairy
2, end
2, dreams
2, dimly
2, did
2, delicate
2, deep
2, death
2, dead
2, darkness
2, cry
2, crown
2, cloud
2, clear
2, bring
2, blue
2, birds
2, bird
2, beside
2, beneath
2, been
2, autumn
2, any
2, alone
2, against
2, afraid
2, across
2, above
1, “i
1, youth
1, yours
1, yesterday
1, worth
1, working
1, woods
1, without
1, winds
1, windowpane
1, window
1, willow
1, whose
1, who
1, whispered
1, weight
1, weeks
1, water
1, warsaw
1, wall
1, walk
1, vivid
1, velvet
1, up
1, unless
1, unhappy
1, under
1, twilights
1, troubled
1, trod
1, triumphant
1, tried
1, tree
1, treasury
1, tower
1, tossing
1, took
1, together
1, tiny
1, times
1, time
1, through
1, thousand
1, thoughts
1, think
1, thin
1, then
1, theaters
1, than
1, temple
1, teeth
1, talk
1, take
1, swallow
1, supper
1, sunsteeped
1, sunset
1, sunny
1, strong
1, street
1, storm
1, stones
1, step
1, starred
1, stands
1, stand
1, stair
1, spoke
1, spite
1, spirit’s
1, spirit
1, sparrows
1, sown
1, sounded
1, sought
1, sorry
1, soon
1, songs
1, some
1, solitude
1, soft
1, snowdrop
1, smoky
1, slave
1, sky
1, six
1, singing
1, singers,let
1, sing
1, silver
1, shut
1, shrill
1, ship
1, shining
1, she
1, set
1, serene
1, send
1, sell
1, selfsame
1, self
1, seem
1, sea’s
1, seagrasses
1, scimitar
1, say
1, sat
1, sandals
1, sail
1, roofs
1, romance
1, rode
1, river
1, rise
1, ring
1, riches
1, returning
1, resting
1, remembered
1, remember
1, rare
1, raised
1, quilt
1, quiet
1, pull
1, princess
1, possessing
1, poland
1, plucked
1, ploughed
1, places
1, place
1, pierrot
1, petal
1, perhaps
1, perfume
1, path
1, panther
1, pantheon
1, pale
1, owe
1, oversoon
1, our
1, or
1, only
1, o
1, noise
1, names
1, naked
1, myself
1, music
1, muffled
1, motion
1, moonlit
1, mood
1, mine
1, mind
1, million
1, miles
1, met
1, men
1, meet
1, mary
1, maidens
1, magic
1, low
1, lover’s
1, lovers
1, lover
1, loveliness
1, lose
1, look
1, lonely
1, loneliness
1, living
1, lives
1, litis
1, listen
1, lips
1, line
1, lilacs
1, lights
1, lightly
1, lifts
1, lift
1, lifeday
1, less
1, learned
1, learn
1, lean
1, leafs
1, leafless
1, laughter
1, lady
1, laden
1, knights
1, knew
1, kind
1, journey
1, its
1, irony
1, invisible
1, inner
1, hushed
1, hurt
1, house
1, hours
1, horns
1, home
1, hill
1, high
1, hidden
1, hid
1, hibiscus
1, help
1, heliotrope
1, height
1, heaven’s
1, heavens
1, heaven
1, heart’s
1, heard
1, haze
1, happy
1, hangs
1, hands
1, halfhour
1, green
1, greater
1, great
1, gown
1, goes
1, god
1, glimmered
1, glad
1, gentleness
1, gather
1, garden
1, frost
1, fresh
1, free
1, four
1, found
1, forgetful
1, forest
1, forefathers
1, flying
1, flows
1, flowers
1, flame
1, five
1, first
1, fields
1, field
1, few
1, feet
1, feel
1, fearless
1, fast
1, farewell
1, falling
1, faint
1, faery
1, fading
1, faces
1, face
1, fabric
1, every
